title,date,start_time,location,district,description,latitude,longitude
"Czwartki z: O agile'u i scrumie, czyli tydzień z życia zespołu developerskiego | Meetup","czwartek, 25 listopada 2021",18:30,Warsaw School of Economics,al. Niepodległości 162 · Warszawa,"W ramach akcji Podaj dalej programowanie organizujemy cykl wykładów przy współpracy z samorządami warszawskich uczelni SGH i UW. Do eventu zostali zaproszeni programiści i entuzjaści programowania, którzy podzielą się wiedzą i najlepszymi praktykami.📅 Data: 25 listopada 2021, godz. 18:30🏢 Miejsce: Szkoła Główna Handlowa w Warszawie, al. Niepodległości 162💬 ""O agile'u i scrumie, czyli tydzień z życia zespołu developerskiego""Ten wykład nie nauczy Was programować ani nie ujawni przed Wami sekretów architektury. Pokaże za to, jak ""od kuchni"" wygląda praca wielu zespołów developerskich, które ciągle zmagają sie z presja czasu, niepewnością i zmiennymi wymaganiami klientów. Dowiecie sie, czym właściwie jest zwinność, czyli mityczny agile, i co jest na czasie jeśli chodzi o metody pracy w IT. Będą magiczne pojęcia takie jak Scrum, Kanban czy backlog, oraz spora dawka życiowych przykładów.🔉 Prelegent: Anna SzypszakAgile Coach, Scrum Master, entuzjastka zwinnych metod pracy, myślenia wizualnego i nurtu modern agile. Obecnie pełni rolę Scrum Mastera w zwinnych zespołach w duńskiej firmie KMD, która świadczy usługi dla takich branż jak IT, finanse, R&D oraz HR. Prowadzi również warsztaty z zakresu agile, wizualizacji, technik kreatywnych i komunikacji, pomaga organizacjom w zaadaptowaniu filozofii agile. Jest też wykładowcą na studiach podyplomowych z zarządzania projektami Politechniki Warszawskiej. Działa jako mentor dla Scrum Masterów zaczynających swoją zwinną karierę. Prywatnie dzieli swój czas pomiędzy liczne pasje: kolarstwo górskie, malarstwo, tango argentyńskie i wiele innych.👤 Sponsorem wydarzenia jest Allegro TECH https://allegro.tech i JetBrains https://www.jetbrains.com/Zapraszamy!",52.208874,21.008657
"Node.js Warsaw, V | Meetup","środa, 24 listopada 2021",18:30,Prosta 51,Prosta 51 · Warszawa,"Cześć wszystkim! Wydarzenie odbędzie się onsite! 🎉Zapraszamy wszystkich na spotkanie dla entuzjastów Node.js.Bez względu na to, czy jesteś nowicjuszem JS, czy weteranem, czy też poznałeś nas wcześniej lub po prostu chcesz sprawdzić, o co chodzi, serdecznie witamy Cię w naszej grupie.W mgnieniu oka staniesz się entuzjastą „Node.js Warsaw”.✨Tym razem będziemy świętować nasze nowe logo, z którego jesteśmy bardzo dumni. ✨Opowiemy lub pokażemy sobie, jakie świetne rzeczy budujemy.Będzie co najmniej jedno przemówienie na temat wysoce związany z Node.js.Wydarzenie odbędzie się na powierzchni kreatywnej Instapage/Postclick. Ta edycja będzie w całości prowadzona po polsku!*** Masz coś czym chciałbyś się podzielić? Świetnie! Zapraszamy do wygłoszenia Flash talk. ***💡Wstępna agenda:18:30 - Powitanie18:40 - Prezentacja nowego logo18:59 - Flash talks!19:15 - Konrad / Mattias - technical talk19:45 - Open Space - Porozmawiaj z innymi, którzy podzielają Twoje zainteresowania (może być w mniejszych grupach)20:20 - Podsumowanie20:30 - ZakończeniePodczas eventu będą robione zdjęcia, których będziemy chcieli użyć do promocji następnych edycji wydarzenia. Przy wejściu poprosimy Was o udzielenie dobrowolnej zgody na przetwarzanie Waszego wizerunku.🥪 Psst! FarSnap zaproponuje przekąski więc nie martwcie się i śmiało przyjdźcie prosto z pracy/szkoły.Sponsorzy: FarSnap i Instapage/Postclick",52.230568,20.987286
Targi Pracy IT PW 2021 [Wszystkie technologie i poziomy doświadczenia] | Meetup,"wtorek, 23 listopada 2021",9:30,"Faculty of Physics, Warsaw University of Technology",Koszykowa 75 · Warszawa,"[ENGLISH below]Po ponad rocznej przerwie Targi wracają na Politechnikę :) Przyjdź i wreszcie twarzą w twarz porozmawiaj z czołowymi pracodawcami IT. Niezależnie od poziomu doświadczenia, znajdź pracę, praktyki lub staż i dowiedz się, jakie są trendy i w którym kierunku warto się rozwijać.📅 KIEDY: 23/11 (wtorek), 9:30-15:30📍 GDZIE: Budynek Wydziału Fizyki Politechniki Warszawskiej🆓 ZAREJESTRUJ SIĘ: zostaw CV wszystkim lub wybranym wystawcom oraz wygraj dodatkowe nagrody👉 https://TargiPracyIT.pl/PWWarto przyjść, NIEZALEŻNIE OD TEGO NA JAKIM ETAPIE KARIERY JESTEŚ:👨‍🎓 PIERWSZA PRACA/PRAKTYKI? Właśnie tutaj je znajdziesz!👨‍💻 PRACUJESZ? Znajdź zatrudnienie na lepszych warunkach.🤖 NIE SZUKASZ? Dowiedz się jakie są trendy, jak zmienił się rynek pracy IT podczas pandemii oraz w których kierunkach warto się obecnie rozwijać.Warto przyjść, bo zapewniamy SOLIDNY ROZWÓJ TWOJEJ KARIERY:💬 Porozmawiaj z przedstawicielami przyszłego zespołu – w luźnej atmosferze poznaj swoich przyszłych współpracowników.🌐 Wszyscy w jednym miejscu – wszyscy najważniejsi pracodawcy IT/data science podczas jednego wydarzenia.📄 Skonsultuj CV z doradcami zawodowymi Biura Karier.⁉️ Nie wiesz o co pytać? Pobierz Tutorial Kariery IT i poznaj pytania, które warto zadać, zaczynając rozmowę z potencjalnym pracodawcom.☹️ Nie możesz dotrzeć? Zawsze warto zostawić CV przez stronę Targów – prześlemy je automatycznie do wszystkich wystawców.Warto przyjść, bo DODATKOWO:🎁 Odbierz podczas Targów: liczne gadżety i nagrody znajdujące się u wystawców.🎁 Wygraj podczas Targów: co 2h inna nagroda.🎁 Wygraj po Targach: zostaw swoje CV pracodawcom poprzez stronę Targów i zgarnij dodatkowe nagrody.------ORGANIZATOR GŁÓWNY: Fundacja Academic PartnersWSPÓŁORGANIZATORZY: Biuro Karier PW, WRS MiNI, WRS EiTI, WRS EE, Koło Naukowe InformatykówWYDARZENIE NA FB: https://fb.me/e/2zUPNQMOmGRUPA FB: www.facebook.com/groups/ofertypracyitpwWWW: https://TargiPracyIT.pl/PW[ENGLISH]After a year-long break the Fair returns to the Warsaw University of Technology :) Come and finally talk face to face with leading IT employers. Regardless of your level of experience, find a job, an internship or a traineeship and find out what the trends are and in which direction it is worth to go.📅 WHEN: 23/11 (Tuesday), 9:30-15:30📍 WHERE: Faculty of Physics of the Warsaw University of Technology🆓 REGISTER: leave your CV for all or selected exhibitors and win additional prizes👉 https://TargiPracyIT.pl/PWIt is worth to come, INDEPENDENTLY FROM YOUR CAREER STAGE:👨‍🎓 FIRST WORK/INTERNSHIP? You will find them here!👨‍💻 ALREADY GOT A JOB? Find employment on better terms.🤖 NOT LOOKING FOR A JOB? Find out what the trends are, how the IT job market has changed during the pandemic and which directions are currently worth taking.It is worth to come, because of CAREER DEVELOPMENT:💬 Talk to representatives of your future team – get to know your future colleagues in a casual atmosphere.🌐 All in one place – all the most important IT/data science employers at one event.📄 Consult your CV with a University Career Office’s consultants⁉️ Not sure what to ask? Download the IT Careers Tutorial and find out the questions to ask when starting a conversation with potential employers.☹️ Can't get there? It's always a good idea to leave your CV via the Fair's website – we'll send it automatically to all exhibitors.It is worth to come because of a FEW EXTRAS:🎁 PICK UP AT THE FAIR: gadgets and prizes from exhibitors.🎁 WIN DURING THE FAIR: every 2 hours a different prize🎁 WIN AFTER THE FAIR: leave your CV to employers via the Fair’s website and grab cool prizes------MAIN ORGANIZER: Academic Partners FoundationCO-ORGANIZERS: PW Career Office, Students' Union Faculty Council of MiNI, Students' Union Faculty Council of EiTI, Students' Union Faculty Council of EE, IT specialist Students ClubFB EVENT: https://fb.me/e/2zUPNQMOmWWW: https://TargiPracyIT.pl/PW",52.221390,21.007223
II warsztat MGR IPMA: Praca w projekcie… czyli o co dokładnie chodzi? | Meetup,"wtorek, 23 listopada 2021",18:00,Gmach Nowy Technologiczny,Ludwika Narbutta 85 · Warszawa,"Jeśli w Twojej firmie lub wśród Twoich znajomych są osoby, które chcę poznać podstawy zarządzania projektami - to jest warsztat dla nich!Na warsztat ""Praca w projekcie… czyli o co dokładnie chodzi?"" zapraszamy wszystkie osoby, które:1. chcą poznać podstawy i główne zasady zarządzania projektami oraz dowiedzieć się na czym w praktyce polega praca w projekcie,2. rozpoczynają (lub właśnie rozpoczęli) pracę w organizacji projektowej i chcą dowiedzieć się z jakimi wyzwaniami będą się mierzyć,3. mają już doświadczenie w pracy projektowej i chcą poszerzyć swoją wiedzę o zarządzaniu projektami, spojrzeć na to zagadnienie z szerszej perspektywy.Więcej informacji i ZAPISY:https://mzgr.ipma.pl/events/praca-w-projekcie-o-co-chodzi1/",52.203310,21.002758
Data Science Summit 2021 | Meetup,"piątek, 3 grudnia 2021",9:00,PGE Narodowy,al. Księcia Józefa Poniatowskiego 1 · Warszawa,"[POLISH BELOW]We would like to invite you to the 5th edition of Data Science Summit, which returns to you in its original, stationary form. This year, for the first time, we will see you at PGE Narodowy in Warsaw and online at the same time – on 3rd December.ABOUT THE EVENT:Data Science Summit is the most important, independent data science conference in the CEE region, driven by the organizers of Data Science Warsaw (Poland's largest data science community) and the Academic Partners Foundation (#WDI22, #THS21 and others).The DSS conference is, as every year:🔀 Several thematic tracks, over 100 speeches selected from hundreds of submissions within the Polish and international Call for Papers.🎤 Top speakers from various backgrounds and industries: from business practitioners through technology and solution providers to academics.📂 Broad topics covering areas such as machine learning, DWH/big data, data processing, analysis and visualisation, among others.👨‍🚀 A broad agenda aimed not only at data scientists and analysts, but also architects, administrators, developers and executives.THE HYBRID FORMULA OF THE 2021 EDITION:This year you decide how you want to participate:🏟️ stationary, listening to the speeches in the auditoriums of PGE Narodowy, and during the breaks, in the corridors, discussing face to face with other participants and speakers;📺 online, watching the speeches from the comfort of your own seat, at a time that suits you, as VoD recordings.📅 DATE: 03/12/2021🗺️ PLACE: PGE Narodowy in Warsaw + online🎟️ REGISTRATION [coming soon]: https://dssconf.plOrganizers: Data Science Warsaw and the Academic Partners Foundation[POLISH]Zapraszamy na 5. edycję Data Science Summit, które wraca do Was w swojej pierwotnej, stacjonarnej formie. W tym roku po raz pierwszy widzimy się na PGE Narodowym w Warszawie i jednocześnie online – już 3 grudnia.O WYDARZENIU:Data Science Summit to najważniejsza w regionie Europy Środkowo-Wschodniej niezależna konferencja data science, za którą stoją organizatorzy Data Science Warsaw (największa w Polsce społeczność data science) oraz Fundacja Academic Partners (#WDI22, #THS21 i in.).Konferencja DSS to, jak co roku:🔀 Kilkanaście ścieżek tematycznych, ponad 100 wystąpień wybranych spośród setek zgłoszeń w ramach polskiego i zagranicznego Call for Papers.🎤 Najlepsi prelegenci z różnych środowisk i branż: od praktyków z biznesu, poprzez dostawców technologii i rozwiązań, aż po naukowców.📂 Szeroka tematyka pokrywająca m.in. takie obszary jak machine learning, DWH/big data, przetwarzanie, analiza i wizualizacja danych.👨‍🚀 Bogaty program skierowany nie tylko do data scientist’ów i analityków, ale również architektów, administratorów, programistów i kadry kierowniczej.HYBRYDOWA FORMUŁA EDYCJI 2021:W tym roku to Wy decydujecie, jak chcecie uczestniczyć:🏟️ stacjonarnie, słuchając wystąpień na salach centrum konferencyjnego PGE Narodowego, a w przerwach, na korytarzach, dyskutując twarzą w twarz z innymi uczestnikami i prelegentami;📺 online, oglądając wystąpienia z wygodnego fotela, w odpowiadającej Wam porze, w formie nagrań VoD.📅 TERMIN: 03/12/2021🗺️ MIEJSCE: PGE Narodowy w Warszawie + online🎟️ REJESTRACJA [wkrótce]: https://dssconf.pl/plOrganizatorzy: Data Science Warsaw i Fundacja Academic Partners",52.239494,21.045792
Girls only Sunday Brunch:) | Meetup,"niedziela, 28 listopada 2021",11:00,Bułkę przez Bibułkę,Żurawia 6 · Warszawa,"Let's have a Sunday Brunch - fresh bread, coffee and an amazing view outside the window! Can it get any better?:)This is a great opportunity to make girl friends in the city!Feel free to message me of you have any questions",52.229218,21.018840
PyWaw #98 | Meetup,"poniedziałek, 22 listopada 2021",18:30,Crux Boulder - climbing wall,Hoża 51 · Warszawa,"PyWaw #98 odbędzie się w poniedziałek, 22. listopada 2021 r., o godz. 18:30 w Kawiarnia Hoża 51 (Hoża 51, Warszawa). Na spotkanie zapraszamy wszystkich entuzjastów języka Python z Warszawy i okolic. Po wysłuchaniu prezentacji zachęcamy do pozostania z nami i przedyskutowania nowo nabytej wiedzy przy piwie. Uczestnictwo w spotkaniach PyWaw jest bezpłatne, nie jest wymagana także żadna rezerwacja.Agenda:Dash: dashboard jako single-page app - Konrad GawdaManaging Python dependencies at scale - Jarek PotiukSponsorzy:- FLYR (https://flyrlabs.com/)- AXA Avanssur (https://www.axa.com/)- Sunscrappers (https://sunscrapers.com/)Strona spotkania: http://pywaw.org/98",52.224537,21.010153
Game night | Meetup,"piątek, 19 listopada 2021",20:30,Cybermachina Warszawa, · Warszawa,"Night of games, beer and overall fun starts - as always - at 8:30!See you there!:)",52.235090,21.018839
Spyrosoft Learn & Chat | Meetup,"wtorek, 30 listopada 2021",16:30,Kinogram,Żelazna 51 · Warszawa,"Poznajmy się lepiej! 30 listopada zapraszamy Cię do Kingramu na nasz networkingowy event – Spyrosoft Learn & Chat.Podczas wydarzenia będziesz mieć okazję poznać nasz warszawski zespół, dowiedzieć się, jak się u nas pracuje i jakie projekty mamy aktualnie na tapecie.W trakcie panelu dyskusyjnego z naszymi ekspertami opowiemy Ci też co nieco o tym, jak to się stało, że urośliśmy od 0 do ponad 700 osób w 5 lat, zdobywając tytuł najszybciej rozwijającej się firmy technologicznej w Europie w ranking Financial Times 1000. Uchylimy również rąbka tajemnicy i zdradzimy nasze plany na 2022 rok, zarówno te lokalne, związane z rozwojem biura w Warszawie, jak i globalne, dotyczące wejścia na nowe rynki. Będzie sporo przestrzeni na zadawanie pytań i dyskusje.Dla zainteresowanych, w sali kinowej odbędzie się wykład o jednym z projektów, nad którym pracował nasz Innovation Lab – systemie do monitorowania poziomu zmęczenia, koncentracji, a w przyszłości prawdopodobnie również stanu zdrowia kierowcy. Poprowadzi go Andrzej Akseńczuk, nasz Chief Technology Officer i Head of Innovation Department.Strona rejestracji:https://spyrosoftwwa.konfeo.comGdzie?W Kinogramie na Żelaznej 51/53, w nowootwartej industrialnej przestrzeni, będącej częścią dawnej fabryki Norblina, tuż naprzeciwko biurowca, gdzie mieści się nasze biuro.Kiedy?O 16:30 startujemy o z przekąskami i zimnymi trunkami. O 17:00 zaczynamy wyklad :)P.S. Nie zabraknie przekąsek i %% 😉 Lista miejsc jest ograniczona, więc nie czekaj z zapisem! Decyduje kolejność zgłoszeń.Do zobaczenia!",52.232185,20.990076
E-Commerce Tech Global Summit 2021 | Meetup,"środa, 1 grudnia 2021",8:00,Warsaw, · Warszawa,"E-Commerce is continuously growing and can grow even more. Although online shopping has become one of the foremost popular online activities, the planet of eCommerce has become more competitive. To stay competitive, organizations have to monitor new 2021 eCommerce trends constantly.During this Global eCommerce Summit, participants, partners, and solution providers will be exposed to successful case studies, topics as per recent developments, panel discussions to understand the holistic views from industry practitioners, and fresh ideas to keep up with the challenges.💥 24+ hours of tech talks from more than 30 experienced developers working in the TOP eCommerce companies, such as Alibaba, Etsy, Salesforce, and Shopware!💥 Multi-Stream conference across time zones💥 New trends will be discussed, like Headless eCommerce, PWA, and also how to deal with the challenges that developers face, such as: using big data, security issues, AI, VR, and scaling the infrastructure to handle large traffic.🎫Free track and Senior Track are available!🎫Register in 2 clicks: https://geekle.us/e-commerce",52.229675,21.012228
